Dataset,#TrainingReleases,%TrainingData,%DefectiveTraining,%DefectiveTesting,Classifier,FeatureSelection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,F1score,NPofB20,Cost
Apache Storm,5,10.054786,10.056089,23.728813,NaiveBayes,BestFirstBackward,Undersampling,None,34,28,182,641,0.5483871,0.05037037,0.2766702,-0.041368756,0.09226594,0.18571428571428572,6438
Apache Storm,5,10.054786,10.056089,23.728813,NaiveBayes,BestFirstBackward,SMOTE,None,148,139,71,527,0.5156794,0.21925926,0.25903705,-0.27049923,0.30769232,0.48095238095238096,5409
Apache Storm,5,10.054786,10.056089,23.728813,NaiveBayes,None,Undersampling,None,180,650,25,30,0.21686748,0.85714287,0.32072663,-0.052465897,0.34615386,0.4523809523809524,950
Apache Storm,5,10.054786,10.056089,23.728813,NaiveBayes,None,SMOTE,None,100,593,82,110,0.14430015,0.47619048,0.31219754,-0.22448558,0.22148395,0.3,1693
Apache Storm,5,10.054786,10.056089,23.728813,RandomForest,None,None,None,204,672,3,6,0.23287672,0.9714286,0.3401834,-0.011530875,0.3756906,0.45714285714285713,732
Apache Storm,5,10.054786,10.056089,23.728813,RandomForest,None,None,Learning,200,657,18,10,0.23337223,0.95238096,0.40210935,-0.010165053,0.37488285,0.46190476190476193,757
Apache Storm,5,10.054786,10.056089,23.728813,RandomForest,BestFirstBackward,None,None,4,7,203,671,0.36363637,0.005925926,0.44521692,-0.013119238,0.011661808,0.18571428571428572,6717
Apache Storm,5,10.054786,10.056089,23.728813,RandomForest,BestFirstBackward,None,Learning,17,10,200,658,0.6296296,0.025185185,0.44721693,-0.010875141,0.048433047,0.2523809523809524,6590
Apache Storm,5,10.054786,10.056089,23.728813,RandomForest,BestFirstBackward,Undersampling,None,36,17,193,639,0.6792453,0.053333335,0.40763667,-0.013671364,0.0989011,0.3047619047619048,6407
Apache Storm,5,10.054786,10.056089,23.728813,RandomForest,BestFirstBackward,SMOTE,None,59,70,140,616,0.45736435,0.08740741,0.24123104,-0.12973818,0.14676617,0.47619047619047616,6230
Apache Storm,5,10.054786,10.056089,23.728813,RandomForest,None,Undersampling,None,190,635,40,20,0.23030303,0.9047619,0.356388,-0.017911235,0.36714977,0.4714285714285714,835
Apache Storm,5,10.054786,10.056089,23.728813,RandomForest,None,SMOTE,None,144,611,64,66,0.19072847,0.6857143,0.22464903,-0.115882106,0.29844558,0.40476190476190477,1271
Apache Storm,5,10.054786,10.056089,23.728813,IBk,None,None,None,203,667,8,7,0.23333333,0.96666664,0.27097708,-0.010315041,0.37592593,0.4523809523809524,737
Apache Storm,5,10.054786,10.056089,23.728813,IBk,None,None,Learning,202,659,16,8,0.23461092,0.96190476,0.27097708,-0.006959904,0.37721756,0.45714285714285713,739
Apache Storm,5,10.054786,10.056089,23.728813,IBk,BestFirstBackward,None,None,4,6,204,671,0.4,0.005925926,0.26897708,-0.01083133,0.011678832,0.5428571428571428,6716
Apache Storm,5,10.054786,10.056089,23.728813,IBk,BestFirstBackward,None,Learning,12,7,203,663,0.6315789,0.017777778,0.26897708,-0.0074931188,0.034582134,0.5428571428571428,6637
Apache Storm,5,10.054786,10.056089,23.728813,IBk,BestFirstBackward,Undersampling,None,46,20,190,629,0.6969697,0.06814815,0.3892804,-0.013552503,0.12415654,0.17142857142857143,6310
Apache Storm,5,10.054786,10.056089,23.728813,IBk,BestFirstBackward,SMOTE,None,161,152,58,514,0.514377,0.23851852,0.22991182,-0.30449507,0.32591093,0.580952380952381,5292
Apache Storm,5,10.054786,10.056089,23.728813,IBk,None,Undersampling,None,191,627,48,19,0.23349634,0.9095238,0.3926596,-0.009695878,0.37159532,0.45714285714285713,817
Apache Storm,5,10.054786,10.056089,23.728813,IBk,None,SMOTE,None,96,592,83,114,0.13953489,0.45714286,0.21533686,-0.2353639,0.21380846,0.26666666666666666,1732
Apache Storm,6,13.619884,9.080153,90.27505,NaiveBayes,None,None,None,160,12,87,759,0.9302326,0.17410229,0.4945648,0.012113248,0.29330888,0.1719260065288357,7602
Apache Storm,6,13.619884,9.080153,90.27505,NaiveBayes,None,None,Learning,206,18,81,713,0.91964287,0.2241567,0.4945648,0.010246561,0.36045495,0.21653971708378672,7148
Apache Storm,6,13.619884,9.080153,90.27505,NaiveBayes,BestFirstBackward,None,None,152,12,87,767,0.9268293,0.16539717,0.35155693,0.010036676,0.28070176,0.24156692056583243,7682
Apache Storm,6,13.619884,9.080153,90.27505,NaiveBayes,BestFirstBackward,None,Learning,313,60,39,606,0.8391421,0.3405876,0.35155693,-0.07671491,0.48452014,0.3797606093579978,6120
Apache Storm,6,13.619884,9.080153,90.27505,NaiveBayes,BestFirstBackward,Undersampling,None,227,25,74,692,0.9007937,0.24700762,0.35276046,-0.0013774142,0.38770282,0.24047878128400435,6945
Apache Storm,6,13.619884,9.080153,90.27505,NaiveBayes,BestFirstBackward,SMOTE,None,918,99,0,1,0.9026549,0.99891186,0.3429947,-0.0019487805,0.9483471,0.6235038084874864,109
Apache Storm,6,13.619884,9.080153,90.27505,NaiveBayes,None,Undersampling,None,167,14,85,752,0.92265195,0.18171926,0.4973566,0.009317488,0.30363637,0.17410228509249184,7534
Apache Storm,6,13.619884,9.080153,90.27505,NaiveBayes,None,SMOTE,None,336,50,49,583,0.8704663,0.3656148,0.490531,-0.040987235,0.5149425,0.5114254624591947,5880
Apache Storm,6,13.619884,9.080153,90.27505,RandomForest,None,None,None,137,9,90,782,0.93835616,0.14907508,0.33521834,0.012973418,0.25727698,0.264417845484222,7829
Apache Storm,6,13.619884,9.080153,90.27505,RandomForest,None,None,Learning,171,25,74,748,0.872449,0.18607181,0.3182093,-0.015606165,0.30672646,0.30467899891186073,7505
Apache Storm,6,13.619884,9.080153,90.27505,RandomForest,BestFirstBackward,None,None,208,22,77,711,0.90434784,0.22633298,0.36529604,0.0010014165,0.36205396,0.2546245919477693,7132
Apache Storm,6,13.619884,9.080153,90.27505,RandomForest,BestFirstBackward,None,Learning,259,41,58,660,0.86333334,0.28182808,0.34062606,-0.03491593,0.42493847,0.2850924918389554,6641
Apache Storm,6,13.619884,9.080153,90.27505,RandomForest,BestFirstBackward,Undersampling,None,350,65,34,569,0.8433735,0.38084874,0.3556182,-0.08428505,0.52473766,0.3144722524483134,5755
Apache Storm,6,13.619884,9.080153,90.27505,RandomForest,BestFirstBackward,SMOTE,None,303,63,36,616,0.8278689,0.3297062,0.3108561,-0.08781566,0.47159532,0.2916213275299238,6223
Apache Storm,6,13.619884,9.080153,90.27505,RandomForest,None,Undersampling,None,343,60,39,576,0.8511166,0.37323177,0.3600477,-0.07001696,0.51891077,0.3177366702937976,5820
Apache Storm,6,13.619884,9.080153,90.27505,RandomForest,None,SMOTE,None,280,47,52,639,0.8562691,0.304679,0.32968423,-0.046367858,0.4494382,0.2992383025027203,6437
Apache Storm,6,13.619884,9.080153,90.27505,IBk,None,None,None,313,59,40,606,0.8413978,0.3405876,0.31481847,-0.0737,0.48489544,0.2676822633297062,6119
Apache Storm,6,13.619884,9.080153,90.27505,IBk,None,None,Learning,320,59,40,599,0.84432715,0.34820458,0.31481847,-0.07215868,0.49306625,0.28618063112078346,6049
Apache Storm,6,13.619884,9.080153,90.27505,IBk,BestFirstBackward,None,None,260,49,50,659,0.8414239,0.28291622,0.31629682,-0.05655841,0.42345276,0.235038084874864,6639
