Dataset,#TrainingReleases,%TrainingData,%DefectiveTraining,%DefectiveTesting,Classifier,FeatureSelection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20
Bookkeeper,1,8.453681,51.666668,33.554817,IBk,BestFirstBackward,SMOTE,Learning,35,9,191,66,0.79545456,0.34653464,0.6308911,0.35049054,18.811882
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,None,None,1,86,350,2,0.011494253,0.33333334,0.68042815,0.009131014,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,None,Threshold,1,80,356,2,0.012345679,0.33333334,0.5749236,0.01077219,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,None,Learning,1,80,356,2,0.012345679,0.33333334,0.68042815,0.01077219,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,Oversampling,None,1,87,349,2,0.011363637,0.33333334,0.68654436,0.008878517,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,Oversampling,Threshold,0,84,352,3,0.0,0.0,0.40366971,-0.013372602,0.0
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,Oversampling,Learning,1,96,340,2,0.010309278,0.33333334,0.67737,0.0068331873,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,Undersampling,None,1,86,350,2,0.011494253,0.33333334,0.68272173,0.009131014,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,Undersampling,Threshold,1,84,352,2,0.011764706,0.33333334,0.5703364,0.009653219,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,Undersampling,Learning,1,118,318,2,0.008403362,0.33333334,0.6651376,0.0031034744,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,SMOTE,None,1,94,342,2,0.010526316,0.33333334,0.6788991,0.007255253,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,SMOTE,Threshold,1,87,349,2,0.011363637,0.33333334,0.566896,0.008878517,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,None,SMOTE,Learning,1,109,327,2,0.009090909,0.33333334,0.6766055,0.004453797,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,None,None,2,114,322,1,0.01724138,0.6666667,0.65634555,0.020564556,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,None,Threshold,1,82,354,2,0.012048192,0.33333334,0.57263,0.0101997,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,None,Learning,1,83,353,2,0.011904762,0.33333334,0.65634555,0.00992332,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,Oversampling,None,2,128,308,1,0.015384615,0.6666667,0.7037462,0.016942386,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,Oversampling,Threshold,1,102,334,2,0.009708738,0.33333334,0.5496942,0.0056625144,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,Oversampling,Learning,1,108,328,2,0.0091743115,0.33333334,0.6097095,0.004617224,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,Undersampling,None,2,121,315,1,0.016260162,0.6666667,0.7106269,0.018652888,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,Undersampling,Threshold,1,98,338,2,0.01010101,0.33333334,0.55428135,0.006427666,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,Undersampling,Learning,2,145,291,1,0.013605442,0.6666667,0.7094801,0.013452777,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,SMOTE,None,2,129,307,1,0.015267176,0.6666667,0.71636087,0.016712612,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,SMOTE,Threshold,1,96,340,2,0.010309278,0.33333334,0.55657494,0.0068331873,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstForward,SMOTE,Learning,2,115,321,1,0.017094018,0.6666667,0.71941894,0.02027781,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,None,None,2,114,322,1,0.01724138,0.6666667,0.65634555,0.020564556,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,None,Threshold,1,82,354,2,0.012048192,0.33333334,0.57263,0.0101997,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,None,Learning,1,83,353,2,0.011904762,0.33333334,0.65634555,0.00992332,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,Oversampling,None,2,128,308,1,0.015384615,0.6666667,0.7037462,0.016942386,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,Oversampling,Threshold,1,102,334,2,0.009708738,0.33333334,0.5496942,0.0056625144,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,Oversampling,Learning,1,108,328,2,0.0091743115,0.33333334,0.6097095,0.004617224,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,Undersampling,None,2,121,315,1,0.016260162,0.6666667,0.7106269,0.018652888,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,Undersampling,Threshold,1,98,338,2,0.01010101,0.33333334,0.55428135,0.006427666,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,Undersampling,Learning,2,145,291,1,0.013605442,0.6666667,0.7094801,0.013452777,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,SMOTE,None,2,129,307,1,0.015267176,0.6666667,0.71636087,0.016712612,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,SMOTE,Threshold,1,96,340,2,0.010309278,0.33333334,0.55657494,0.0068331873,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,NaiveBayes,BestFirstBackward,SMOTE,Learning,2,115,321,1,0.017094018,0.6666667,0.71941894,0.02027781,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,None,None,2,193,243,1,0.010256411,0.6666667,0.7087156,0.00683366,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,None,Threshold,1,47,389,2,0.020833334,0.33333334,0.6127676,0.026695624,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,None,Learning,1,59,377,2,0.016666668,0.33333334,0.71636087,0.018976444,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,Oversampling,None,3,227,209,0,0.013043478,1.0,0.6941896,0.012427284,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,Oversampling,Threshold,1,91,345,2,0.010869565,0.33333334,0.56230885,0.007921658,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,Oversampling,Learning,2,191,245,1,0.010362694,0.6666667,0.6834862,0.0070447423,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,Undersampling,None,2,226,210,1,0.00877193,0.6666667,0.74006116,0.0038784097,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,Undersampling,Threshold,2,62,374,1,0.03125,0.6666667,0.7622324,0.047263082,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,Undersampling,Learning,3,220,216,0,0.013452915,1.0,0.82912844,0.0132412445,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,SMOTE,None,2,224,212,1,0.0088495575,0.6666667,0.74808866,0.0040332745,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,SMOTE,Threshold,2,68,368,1,0.028571429,0.6666667,0.75535166,0.04224239,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,None,SMOTE,Learning,2,87,349,1,0.02247191,0.6666667,0.64717126,0.030661916,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,BestFirstForward,None,None,2,197,239,1,0.010050251,0.6666667,0.71330273,0.0064240317,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,BestFirstForward,None,Threshold,1,65,371,2,0.015151516,0.33333334,0.59212536,0.016123097,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,BestFirstForward,None,Learning,1,60,376,2,0.016393442,0.33333334,0.7236239,0.018463757,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,BestFirstForward,Oversampling,None,3,215,221,0,0.013761468,1.0,0.7591743,0.013854207,100.0
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,BestFirstForward,Oversampling,Threshold,2,124,312,1,0.015873017,0.6666667,0.6911315,0.017897092,66.66667
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,BestFirstForward,Oversampling,Learning,1,139,297,2,0.007142857,0.33333334,0.68157494,6.135267E-4,33.333336
Bookkeeper,2,19.056005,41.58965,0.6833713,RandomForest,BestFirstForward,Undersampling,None,2,221,215,1,0.00896861,0.6666667,0.70527524,0.00427071,33.333336
